GEOID,estimate,dem_share
75973,2828,0.206
77414,23982,0.3
78377,3745,0.357
76508,7,NA
77656,16524,0.192
77465,7151,0.245
75672,16351,0.307
76904,36178,0.246
75287,55673,0.661
78389,1874,0.284
78621,23936,0.513
76201,28601,0.772
78150,37,NA
78612,13802,0.47
75132,1559,NA
79733,169,NA
75852,4017,NA
76834,5310,0.103
75962,3242,NA
78946,1270,0.333
79699,115,NA
79414,18731,0.407
76686,195,NA
77979,17916,0.326
77630,28925,0.281
76234,16630,0.169
79512,7456,0.155
75645,10797,0.142
75938,2585,0.126
75432,3504,0.158
75785,11357,0.184
75969,3854,0.121
76653,1279,0.158
75109,4384,0.278
78503,21644,0.596
78359,1977,NA
78335,0,NA
75082,23483,0.571
78606,5547,0.253
78383,4296,0.186
76937,15,NA
78072,582,0.101
78933,1308,0.134
79752,2467,0.15
78561,669,NA
77624,609,0.221
76849,3785,0.13
76310,19187,0.244
79601,27507,0.337
75160,25525,0.397
78582,43074,0.515
75803,21928,0.222
78203,6180,0.822
76872,770,0.111
77423,12377,0.456
79369,93,NA
77351,34366,0.233
79528,587,0.083
75904,34406,0.325
77831,3179,0.175
79916,2979,NA
78840,47937,0.454
77430,2078,0.132
76455,1009,0.136
77443,300,NA
79010,910,0.112
77331,7971,0.196
75570,11071,0.208
79830,7860,0.497
78352,485,NA
79329,3112,0.193
75848,137,NA
76531,4728,0.144
78622,237,NA
79739,1322,0.056
79226,2861,0.119
79103,10869,0.405
75474,15017,0.162
75949,8225,0.097
77422,13194,0.231
76801,25011,0.159
78237,39105,0.788
77713,14238,0.515
78061,12858,0.535
75766,26925,0.241
76523,0,NA
75942,229,NA
79344,161,NA
78019,1253,0.458
75225,21736,0.361
75209,14308,0.586
75840,6340,0.179
77488,14525,0.362
77880,1438,0.349
79720,35025,0.214
79081,3918,0.087
76442,7909,0.128
75219,25120,0.693
79562,3371,0.134
79236,218,0.05
78145,116,NA
77511,47556,0.243
77484,10875,0.336
78629,12393,0.245
78056,2138,0.305
78342,330,NA
75980,2254,0.091
79845,4384,0.646
77518,10856,0.344
75631,3248,0.157
75101,517,NA
76384,12179,0.212
76932,3819,0.154
79065,20606,0.111
78380,24300,0.43
78839,8995,0.69
77327,23274,0.214
76661,7755,0.574
75390,0,NA
75979,12228,0.202
75574,1659,0.049
78119,7160,0.302
75862,10176,0.198
75080,52531,0.563
76598,479,NA
79059,671,0.026
79506,626,0.068
75075,38283,0.5
79025,20,NA
77840,59371,0.568
79837,322,NA
75001,14992,0.623
75023,50431,0.533
75661,3094,0.355
75833,2944,0.151
76941,1455,0.136
76067,20309,0.206
77995,10724,0.153
78729,28644,0.712
75856,215,NA
75754,6627,0.151
78070,15457,0.211
75930,1779,0.085
75494,9940,0.149
78934,6816,0.233
77354,37058,0.242
77808,12013,0.251
75042,39183,0.603
78340,356,0.327
75440,6258,0.14
78243,408,NA
75169,14142,0.155
78014,5999,0.448
75144,3668,0.261
78029,0,NA
76268,232,NA
79257,822,0.112
78341,1844,0.622
78873,2053,0.154
78235,1476,NA
77617,66,NA
79718,1169,0.327
75633,13161,0.189
77514,5127,0.241
76424,8721,0.104
77587,16928,0.597
79842,425,0.614
76550,13412,0.182
79731,4772,0.163
75551,11251,0.215
78414,40657,0.443
75238,33049,0.583
79735,13915,0.328
75964,19811,0.38
75455,28354,0.301
77990,811,NA
77453,393,NA
79744,1255,0.128
75972,6169,0.34
79261,370,0.085
77659,5326,0.097
75846,2957,0.113
79239,181,0.124
77523,23501,0.168
78631,2964,0.106
75227,59924,0.835
77057,41690,0.519
77067,35227,0.831
75501,36094,0.405
75473,3688,0.123
78208,4913,0.79
78215,2915,0.785
78225,14472,0.754
78234,4965,0.54
77090,40761,0.759
77099,52294,0.694
77342,0,NA
75119,28598,0.328
78620,17590,0.412
79546,1794,0.243
77541,18609,0.371
78393,2161,0.292
77625,9761,0.119
78884,1134,0.129
78006,36056,0.259
78586,56692,0.568
75140,7595,0.12
75554,2131,0.091
75555,1579,0.148
75559,5122,0.176
75560,1002,0.303
76933,1209,0.102
75670,17539,0.481
76597,2657,NA
79504,3366,0.104
75563,4528,0.209
75567,4824,0.111
75568,2238,0.279
78256,11238,0.553
78351,421,NA
77320,36122,0.373
77859,6750,0.465
77328,14438,0.188
78945,10767,0.221
77454,0,NA
79057,1254,0.107
79510,7573,0.113
76429,133,NA
78163,12874,0.237
77480,8055,0.236
78248,14345,0.473
79018,307,0.093
77460,39,NA
79052,1318,0.214
79942,30,NA
76230,9896,0.11
75142,19261,0.23
75925,4002,0.238
76458,6111,0.093
77461,11447,0.199
76864,821,0.118
76935,1791,0.113
77705,39236,0.613
76033,26081,0.231
76088,11907,0.127
78060,0,NA
76559,6211,NA
76272,4116,0.174
77865,2440,0.061
79839,2141,0.383
76119,52070,0.833
75751,17084,0.273
76078,10247,0.202
76687,1879,0.1
76701,1895,0.597
76705,31734,0.42
76711,9988,0.624
76821,4561,0.137
76825,6908,0.162
79915,36412,0.78
75412,457,0.099
79096,2071,0.067
76836,0,NA
76837,2440,0.216
76844,3534,0.108
76853,1456,0.142
76856,3735,0.187
76871,657,0.102
76877,4371,0.109
76255,5311,0.126
78837,230,0.179
79036,5184,0.086
75475,148,NA
75481,314,0.107
75482,24984,0.22
75488,645,0.13
75603,6100,0.668
79235,3298,0.252
75929,1649,0.095
76002,36460,0.703
76444,3339,0.165
75446,3178,0.227
75460,23504,0.383
76901,31667,0.27
76930,107,NA
76936,2983,0.183
76943,3420,0.22
76945,1798,0.1
76950,3867,0.209
76951,1231,0.08
76957,134,NA
76958,183,NA
77016,30741,0.933
77046,1207,NA
77098,13818,0.729
78330,934,NA
78332,28941,0.528
78355,7168,0.581
79346,2225,0.18
78409,2725,0.489
75951,15859,0.301
76433,1796,0.123
77856,5246,0.145
77388,50701,0.429
78644,18390,0.519
77473,77,NA
79378,196,NA
76402,953,0.417
76798,1591,NA
76574,19161,0.393
76622,1160,0.102
75647,13712,0.171
79353,10,NA
79511,1183,0.093
79748,298,NA
77535,34537,0.175
77561,103,NA
78521,90687,0.636
76513,39411,0.314
76596,1250,NA
79201,7288,0.137
76087,27760,0.166
78669,12901,0.4
79108,16112,0.153
76689,3565,0.178
77536,32146,0.244
75839,5927,0.117
78155,48909,0.336
75859,2134,0.14
76848,48,0.123
75487,2106,0.156
77005,28572,0.624
79351,1414,0.152
79366,1056,NA
79371,1399,0.188
79406,7017,0.542
79503,85,0.134
79505,244,0.18
79517,164,0.071
79527,263,NA
79530,538,NA
79543,1298,0.176
79549,15943,0.143
79556,12833,0.238
79605,29732,0.282
79707,39921,0.16
79714,18036,0.147
79734,2145,0.397
79738,234,0.062
79743,328,0.119
79092,1148,0.064
79093,102,NA
79101,1851,NA
79227,1302,0.18
79230,179,0.027
79237,417,0.094
79244,870,0.09
79245,2346,0.188
79248,1621,0.173
79314,40,NA
79316,11310,0.22
79331,12426,0.22
79336,17270,0.185
79339,6617,0.214
76426,12351,0.157
76430,2288,0.079
76431,3630,0.114
75436,2480,0.138
75441,128,NA
75450,150,0.095
77547,9925,0.638
77554,8556,0.409
77575,16884,0.228
77580,1099,NA
77583,40514,0.62
75158,4191,0.144
76265,1472,0.094
76273,9806,0.135
75270,0,NA
75941,8465,0.284
76031,17668,0.259
76039,36087,0.55
76538,1025,0.151
76542,51405,0.611
76567,9161,0.278
76573,29,NA
76623,259,NA
75657,7261,0.297
75662,24976,0.198
75954,2466,0.083
76634,7431,0.175
76642,6949,0.212
76643,14523,0.361
76665,2417,0.15
78071,4372,0.162
78107,269,0.294
78382,21123,0.233
78387,9660,0.416
78402,236,0.329
78408,11583,0.676
78413,40644,0.493
78501,63066,0.596
78535,601,NA
77612,9408,0.092
75462,11641,0.144
75472,4087,0.161
79083,1923,0.117
79350,401,NA
77657,21345,0.102
77662,26277,0.1
77702,3225,0.644
77706,29474,0.421
77833,29345,0.261
75684,7894,0.186
75686,13184,0.278
75691,4320,0.254
75975,4031,0.181
76470,3580,0.136
76018,31200,0.655
75503,25517,0.282
78742,887,NA
78751,16197,0.896
78828,117,0.065
78833,1463,0.174
78834,8059,0.628
78851,37,0.3
78852,57159,0.546
78861,13663,0.289
78870,1099,0.222
78871,13,0.136
78872,1608,0.506
78877,724,0.617
78880,1626,0.158
78881,2184,0.274
78940,2521,0.166
78947,4634,0.214
78957,9699,0.372
79001,178,0.066
79007,14290,0.141
77651,12782,0.165
75231,40371,0.674
79014,3964,0.12
79015,21925,0.192
79016,147,NA
79019,1871,0.059
79022,11400,0.113
77836,12077,0.197
77845,66649,0.388
77864,7562,0.194
77868,17142,0.315
77871,2738,0.205
77879,5621,0.233
77954,11478,0.212
77957,8735,0.201
77963,5855,0.23
77964,8395,0.128
77968,3214,0.135
77983,2045,0.135
75041,30880,0.569
75226,4579,0.799
77660,1057,0.082
78752,20881,0.882
78832,3659,0.281
78860,21,NA
78950,1810,0.179
77905,14834,0.193
75043,62601,0.577
75934,219,NA
75189,29135,0.305
75205,24877,0.418
75831,5529,0.108
75835,11086,0.344
75844,5968,0.157
75845,2926,0.172
75847,1843,0.207
75851,4954,0.109
75855,3078,0.329
75752,6998,0.175
75758,8739,0.168
79772,14029,0.386
79781,263,0
79831,4,0.367
79834,233,0.673
79843,2456,0.683
79846,121,0.583
79847,153,0.306
79851,1576,0.296
79852,709,0.461
79854,90,0.333
79855,2108,0.518
79908,6422,0.491
79920,8,NA
79938,84237,0.661
76123,36245,0.703
76129,2519,NA
76134,26151,0.678
76148,23993,0.396
78003,9743,0.191
78022,4033,0.166
78024,1370,0.246
78028,39944,0.249
78040,40939,0.685
78045,66685,0.583
78357,2886,0.335
78361,5320,0.577
78363,29544,0.499
78368,9460,0.441
77358,5565,0.184
77418,10537,0.185
77434,4740,0.502
77435,4031,0.127
77437,16913,0.26
77445,14200,0.365
78055,1867,0.128
75861,9126,0.239
75901,30429,0.321
75926,1151,0.194
75755,5178,0.175
75760,2066,0.193
79848,823,0.269
78013,7312,0.24
77448,131,NA
75143,14510,0.162
75763,6247,0.174
75771,21310,0.149
75932,1743,0.07
75935,13648,0.235
75939,5260,0.3
76240,28010,0.193
76248,39665,0.33
76258,7010,0.211
76305,4261,0.147
75604,31027,0.247
75630,2370,0.215
78617,28930,0.694
78618,338,0.098
78624,22444,0.215
78580,14839,0.574
78589,41291,0.623
78602,29795,0.411
78611,12921,0.207
78064,16186,0.283
78067,772,0.538
78076,13029,0.454
78102,28323,0.385
78118,4264,0.267
75246,2760,0.796
75417,2688,0.091
75426,4393,0.363
75428,11371,0.438
75974,3410,0.237
78636,3555,0.275
78638,2133,0.242
78641,72078,0.477
78643,6298,0.194
78648,8148,0.338
78653,24313,0.718
78654,18250,0.289
78663,873,0.237
78701,10848,0.769
77469,53992,0.55
77474,12487,0.228
77485,4627,0.25
78133,18483,0.233
78142,166,NA
78147,2035,NA
75944,1100,0.103
75946,3744,0.218
75948,6268,0.121
75978,134,NA
76006,24684,0.671
76010,60097,0.651
76437,5818,0.125
76446,7709,0.153
76449,2430,0.122
76452,99,NA
76457,4013,0.145
76466,149,NA
76475,956,0.182
77515,32469,0.265
75773,14523,0.169
75779,128,NA
75783,7942,0.142
75801,16244,0.241
79040,1962,0.072
79045,18847,0.308
79068,3489,0.104
79080,461,0.094
79085,18,NA
79088,5394,0.223
75956,8937,0.144
75959,994,0.124
75961,16004,0.356
75966,4920,0.246
76311,8987,NA
76351,2068,0.096
76360,3545,0.15
76365,4688,0.117
76379,590,0.092
76401,30003,0.194
76483,932,0.07
76490,90,NA
76520,7722,0.264
76525,1098,0.124
76528,17284,0.189
76534,3046,0.155
75071,55570,0.427
75157,261,NA
75642,48,NA
75644,13427,0.162
75650,9837,0.155
75654,12664,0.173
76450,13112,0.126
75792,3002,0.238
75207,7702,0.735
77629,786,0.155
79533,385,0.036
76373,153,NA
76453,1295,0.198
78748,51653,0.756
77661,671,NA
77043,24803,0.505
77385,25160,0.337
77069,19345,0.375
76131,43542,0.468
75094,23239,0.519
78558,1021,NA
77037,18966,0.626
78343,4526,0.439
78657,6277,0.204
75243,68308,0.7
77371,8036,0.164
75223,14941,0.826
79606,25053,0.239
78728,21125,0.702
78563,269,0.367
79534,125,NA
75495,8729,0.198
77904,28202,0.257
76308,19493,0.278
79355,1877,0.152
77701,13480,0.887
78249,61639,0.622
79124,8800,0.215
79109,44600,0.233
78012,267,NA
78838,202,NA
76380,3630,0.109
77586,22548,0.332
75572,3896,0.191
75054,11927,0.678
77074,40978,0.685
76635,1290,0.311
77096,32682,0.631
79342,516,0.076
75449,1374,0.272
79031,1377,0.155
78391,283,0.283
75682,578,NA
76491,347,0.117
76228,994,0.082
77872,1879,0.103
77442,996,0.153
76016,32026,0.432
75156,16578,0.183
75469,275,0.192
77356,26987,0.177
75692,4414,0.211
78609,1991,0.18
76137,60385,0.461
78949,590,0.156
76878,1688,0.137
79078,217,0.107
79357,2123,0.293
79360,16666,0.084
78578,11772,0.501
77550,21863,0.65
78041,47753,0.619
78575,12215,0.545
76706,39221,0.454
78645,11579,0.341
77489,38242,0.899
76253,291,NA
76640,3567,0.277
79749,366,NA
76565,138,NA
76085,11014,0.159
78538,11137,0.685
77362,6435,NA
78052,6769,0.368
77479,93848,0.532
75021,8847,0.227
77010,890,NA
75558,1582,0.128
77642,39202,0.669
77041,33941,0.534
75035,75485,0.533
75407,17978,0.357
78210,37683,0.77
77503,24808,0.446
78264,10623,0.52
75089,36324,0.495
78623,1113,NA
76115,21319,0.738
78232,39072,0.468
76690,1101,0.177
76017,47499,0.505
76108,43169,0.379
78723,35725,0.902
76481,189,0.101
77368,223,NA
76670,1517,0.26
79104,7019,0.465
76866,537,0.107
79765,16486,0.207
78209,42653,0.551
77861,2203,0.109
77562,10680,0.291
78044,519,0.501
76155,5813,0.746
77023,29138,0.741
77415,88,NA
79518,48,0.143
79544,676,0.125
78931,368,0.146
78951,0,NA
79035,5307,0.188
78584,19175,0.547
75762,12412,0.184
76518,1880,0.175
75928,1198,0.392
79742,526,0.117
76657,10108,0.276
76464,505,0.052
75431,2122,0.192
75471,1531,0.143
76681,801,0.17
76207,14588,0.592
75790,3864,0.12
78021,273,0.032
76050,6212,0.132
75943,1442,0.152
78662,2201,0.302
76239,1087,0.112
78948,636,0.153
76252,2624,0.083
78059,5545,0.42
77002,15613,0.664
77545,25226,0.914
76102,9282,0.596
79901,9590,0.743
77426,2524,0.212
75032,33080,0.297
78254,59107,0.569
76676,281,NA
76086,23699,0.221
75134,21879,0.915
78260,26301,0.401
77035,36931,0.727
78677,39,NA
79372,1229,NA
76660,561,0.185
78665,49074,0.569
76524,3042,0.22
78146,637,0.291
76118,16378,0.435
77993,95,NA
79343,1700,0.287
77339,40133,0.339
77053,31650,0.863
78566,17398,0.488
79005,1714,0.069
77021,26214,0.919
75415,240,NA
77615,1084,NA
76628,54,NA
76041,395,0.234
78152,2171,0.173
79079,2617,0.086
78344,436,NA
78962,5138,0.211
75707,14232,0.271
76008,19338,0.217
77961,178,0.167
77590,31604,0.463
79252,2954,0.153
76852,268,0.073
78717,30657,0.642
76487,3058,0.107
78632,1003,0.199
76210,45474,0.422
75215,17818,0.917
77038,31912,0.709
79838,6171,0.688
75202,2312,NA
78730,9803,0.581
75212,26720,0.869
77436,54,NA
77504,24954,0.442
78415,40377,0.597
76367,14247,0.113
76445,292,0.082
78664,64686,0.619
75641,89,NA
77068,11011,0.55
77003,9707,0.774
75254,26929,0.639
79053,97,NA
78650,1632,0.335
79560,172,NA
78005,870,0.256
77532,29963,0.293
77623,648,0.155
75652,16223,0.288
79012,1427,0.095
79121,6002,0.208
77350,135,NA
78226,7906,0.78
78744,50123,0.821
76940,113,NA
79102,9878,0.347
78125,45,0.099
75565,206,NA
78886,469,0.215
79780,173,0.419
79755,124,0.096
78001,0,NA
77007,40080,0.647
77026,21300,0.911
76639,1318,0.2
75976,778,NA
79105,0,NA
76645,10568,0.279
75214,34824,0.647
79520,2121,0.187
79044,646,0.085
75651,2100,0.113
77969,246,0.127
78372,5971,0.243
75448,643,0.158
75040,62417,0.59
79013,3618,NA
75006,51642,0.594
75013,42629,0.519
77372,14116,0.137
76060,8468,0.386
78759,43298,0.73
75062,49306,0.613
75229,32322,0.572
75453,3046,0.14
75217,89163,0.836
76599,2339,NA
77563,11027,0.333
78613,81943,0.555
77707,18335,0.583
78247,53892,0.512
75076,8156,0.192
79359,3025,0.149
78557,13970,0.561
76061,37,NA
75251,2861,0.714
75438,992,0.151
76832,728,0.126
78379,1413,0.321
75167,12170,0.387
77419,1253,0.13
78211,32769,0.756
76908,2554,NA
75019,42888,0.513
78801,22518,0.444
75759,54,NA
76630,1359,NA
76682,2846,0.137
75550,681,0.246
79119,17524,0.172
79853,2621,0.617
76035,2211,0.177
78883,395,0.289
77054,23267,0.838
79243,53,NA
77650,1835,0.181
79251,13,0.071
79759,0,NA
78371,153,0.437
75218,22529,0.641
78539,37380,0.58
78712,880,NA
79934,26445,0.615
75708,7698,0.393
76227,34036,0.434
79407,22807,0.314
77018,28229,0.568
78607,170,NA
77962,3654,0.123
76692,10252,0.158
75204,30537,0.663
76569,2681,0.167
78736,10163,0.688
76869,64,NA
76427,859,0.061
79777,293,0.158
77345,27993,0.304
79566,247,0.068
78879,89,NA
78117,401,0.19
79376,14,0.133
78605,6275,0.205
76666,268,0.076
79084,2123,0.101
78257,7538,0.463
75141,5782,0.778
79231,117,NA
77082,55056,0.671
75702,27698,0.827
76133,51505,0.618
75489,1032,NA
78754,26433,0.749
78655,2845,0.505
76885,216,NA
76021,35794,0.433
79713,493,0.076
78543,8689,0.692
76011,22622,0.67
79051,0,NA
77598,26460,0.504
79788,685,0.112
76262,39425,0.327
75078,28803,0.333
75248,37373,0.561
76377,555,0.092
76554,2380,NA
76127,1946,0.347
77498,51293,0.578
78220,16700,0.85
78559,13255,0.505
78635,564,NA
77004,37294,0.872
77073,39939,0.766
79529,1480,0.189
77974,314,NA
79413,21821,0.376
75477,1183,0.181
76049,29698,0.171
76712,25525,0.33
76372,1166,0.093
77024,38190,0.391
78734,19452,0.47
77303,20655,0.221
76708,27964,0.417
75838,639,0.05
78043,45532,0.652
77363,2853,0.182
79323,7252,0.257
75933,1158,0.146
75667,1193,0.173
77369,555,NA
76484,916,0.151
78588,133,NA
78675,314,0.161
75556,1214,0.107
76111,22531,0.623
77084,107673,0.571
75172,4619,NA
78567,443,NA
78219,17239,0.685
79925,39616,0.676
78731,27298,0.75
